Entity,Code,Year,Cumulative number of objects launched into outer space
Czechia,CZE,1991,3
Czechia,CZE,1995,4
Czechia,CZE,1996,5
Czechia,CZE,2003,6
Czechia,CZE,2019,7
Czechia,CZE,2022,10
Czechia,CZE,2023,11
Czechia,CZE,2024,12
Denmark,DNK,1999,1
Denmark,DNK,2003,3
Denmark,DNK,2008,4
Denmark,DNK,2013,6
Denmark,DNK,2014,7
Denmark,DNK,2015,8
Denmark,DNK,2016,9
Denmark,DNK,2018,11
Denmark,DNK,2019,12
Denmark,DNK,2023,14
Djibouti,DJI,2023,1
Djibouti,DJI,2024,2
EUMETSAT,,1989,1
EUMETSAT,,1991,2
EUMETSAT,,1993,3
EUMETSAT,,1997,4
EUMETSAT,,2002,6
EUMETSAT,,2005,7
EUMETSAT,,2006,8
EUMETSAT,,2012,10
EUMETSAT,,2015,11
EUMETSAT,,2018,12
EUMETSAT,,2022,13
Ecuador,ECU,2013,2
Egypt,EGY,1998,1
Egypt,EGY,2000,2
Egypt,EGY,2007,3
Egypt,EGY,2010,4
Egypt,EGY,2014,5
Egypt,EGY,2019,9
Egypt,EGY,2022,10
Egypt,EGY,2023,13
Egypt,EGY,2024,14
Estonia,EST,2013,1
Estonia,EST,2019,2
Estonia,EST,2020,3
Estonia,EST,2023,4
Ethiopia,ETH,2019,1
European Space Agency,,1968,5
European Space Agency,,1969,7
European Space Agency,,1972,13
European Space Agency,,1975,15
European Space Agency,,1977,16
European Space Agency,,1978,18
European Space Agency,,1979,19
European Space Agency,,1981,22
European Space Agency,,1983,24
European Space Agency,,1985,25
European Space Agency,,1988,27
European Space Agency,,1989,29
European Space Agency,,1990,31
European Space Agency,,1991,32
European Space Agency,,1992,33
European Space Agency,,1995,36
European Space Agency,,1997,39
European Space Agency,,1998,40
European Space Agency,,1999,41
European Space Agency,,2000,45
European Space Agency,,2001,47
European Space Agency,,2002,51
European Space Agency,,2003,54
European Space Agency,,2004,56
European Space Agency,,2005,62
European Space Agency,,2008,65
European Space Agency,,2009,70
European Space Agency,,2010,71
European Space Agency,,2011,74
European Space Agency,,2012,77
European Space Agency,,2013,83
European Space Agency,,2014,85
European Space Agency,,2015,88
European Space Agency,,2016,92
European Space Agency,,2017,94
European Space Agency,,2018,98
European Space Agency,,2019,100
European Space Agency,,2020,102
European Space Agency,,2023,104
European Space Agency,,2024,109
European Union,,2014,2
European Union,,2015,8
European Union,,2016,14
European Union,,2017,18
European Union,,2018,22
European Union,,2021,24
European Union,,2024,28
Eutelsat,,1983,1
Eutelsat,,1984,2
Eutelsat,,1987,3
Eutelsat,,1990,4
Eutelsat,,1991,6
Eutelsat,,1992,7
Eutelsat,,1995,8
Eutelsat,,1996,9
Eutelsat,,1997,10
Eutelsat,,1998,13
Eutelsat,,1999,14
Eutelsat,,2000,17
Eutelsat,,2001,19
Eutelsat,,2002,22
Eutelsat,,2003,23
Eutelsat,,2004,24
Eutelsat,,2006,26
Eutelsat,,2008,28
Eutelsat,,2009,31
Eutelsat,,2015,32
Eutelsat,,2016,33
Finland,FIN,2017,1
Finland,FIN,2018,5
Finland,FIN,2019,7
Finland,FIN,2020,9
Finland,FIN,2021,17
Finland,FIN,2022,21
Finland,FIN,2023,27
Finland,FIN,2024,34
France,FRA,1965,3
France,FRA,1966,4
France,FRA,1967,6
France,FRA,1970,8
France,FRA,1971,10
France,FRA,1972,11
France,FRA,1974,13
France,FRA,1975,20
France,FRA,1977,22
France,FRA,1984,23
France,FRA,1985,24
France,FRA,1986,25
France,FRA,1988,27
France,FRA,1990,29
France,FRA,1991,31
France,FRA,1992,33
France,FRA,1993,36
France,FRA,1995,39
France,FRA,1996,40
France,FRA,1998,41
France,FRA,1999,43
France,FRA,2001,44
France,FRA,2002,47
France,FRA,2004,54
France,FRA,2005,55
France,FRA,2006,58
France,FRA,2008,59
France,FRA,2009,62
France,FRA,2010,71
France,FRA,2011,90
France,FRA,2012,95
France,FRA,2013,103
France,FRA,2014,105
France,FRA,2016,107
France,FRA,2017,109
France,FRA,2018,111
France,FRA,2019,118
France,FRA,2020,122
France,FRA,2021,131
France,FRA,2022,141
France,FRA,2023,153
France,FRA,2024,175
Germany,DEU,1969,1
Germany,DEU,1970,2
Germany,DEU,1972,3
Germany,DEU,1974,7
Germany,DEU,1975,9
Germany,DEU,1976,10
Germany,DEU,1983,11
Germany,DEU,1984,12
Germany,DEU,1987,13
Germany,DEU,1988,14
Germany,DEU,1989,16
Germany,DEU,1990,18
Germany,DEU,1991,19
Germany,DEU,1992,20
Germany,DEU,1993,21
Germany,DEU,1994,24
Germany,DEU,1995,26
Germany,DEU,1996,27
Germany,DEU,1997,29
Germany,DEU,1998,32
Germany,DEU,1999,34
Germany,DEU,2000,37
Germany,DEU,2001,38
Germany,DEU,2002,43
Germany,DEU,2005,44
Germany,DEU,2006,45
Germany,DEU,2007,48
Germany,DEU,2008,57
Germany,DEU,2009,61
Germany,DEU,2010,63
Germany,DEU,2012,64
Germany,DEU,2013,70
Germany,DEU,2014,71
Germany,DEU,2016,73
Germany,DEU,2017,75
Germany,DEU,2018,86
Germany,DEU,2019,97
Germany,DEU,2020,102
Germany,DEU,2021,111
Germany,DEU,2022,116
Germany,DEU,2023,125
Germany,DEU,2024,132
Ghana,GHA,2017,1
Greece,GRC,2003,1
Greece,GRC,2017,2
Greece,GRC,2019,3
Greece,GRC,2022,5
Guatemala,GTM,2020,1
Hungary,HUN,2012,1
Hungary,HUN,2019,3
Hungary,HUN,2021,5
Hungary,HUN,2023,8
Hungary,HUN,2024,9
India,IND,1975,1
India,IND,1979,2
India,IND,1980,3
India,IND,1981,6
India,IND,1982,8
India,IND,1983,10
India,IND,1988,13
India,IND,1990,15
India,IND,1991,16
India,IND,1992,18
India,IND,1993,19
India,IND,1994,21
India,IND,1995,23
India,IND,1996,24
India,IND,1997,26
India,IND,1999,28
India,IND,2000,29
India,IND,2001,31
India,IND,2002,33
India,IND,2003,37
India,IND,2004,38
India,IND,2005,41
India,IND,2007,46
India,IND,2008,50
India,IND,2009,54
India,IND,2010,56
India,IND,2011,63
India,IND,2012,65
India,IND,2013,70
India,IND,2014,74
India,IND,2015,78
India,IND,2016,90
India,IND,2017,99
India,IND,2018,109
India,IND,2019,119
India,IND,2020,122
India,IND,2021,127
India,IND,2022,138
India,IND,2023,145
India,IND,2024,155
Indonesia,IDN,1976,1
Indonesia,IDN,1977,2
Indonesia,IDN,1983,3
Indonesia,IDN,1984,4
Indonesia,IDN,1987,5
Indonesia,IDN,1992,6
Indonesia,IDN,1996,8
Indonesia,IDN,1997,9
Indonesia,IDN,1999,10
Indonesia,IDN,2000,11
Indonesia,IDN,2005,12
Indonesia,IDN,2007,13
Indonesia,IDN,2012,14
Indonesia,IDN,2015,15
Indonesia,IDN,2016,17
Indonesia,IDN,2017,18
Indonesia,IDN,2018,19
Indonesia,IDN,2019,20
Indonesia,IDN,2023,23
Indonesia,IDN,2024,25
Inmarsat,,1976,3
Inmarsat,,1981,4
Inmarsat,,1984,5
Inmarsat,,1990,6
Inmarsat,,1991,8
Inmarsat,,1992,9
Inmarsat,,1996,12
Inmarsat,,1997,13
Inmarsat,,1998,14
Intelsat,,1965,1
Intelsat,,1966,2
Intelsat,,1967,5
Intelsat,,1968,6
Intelsat,,1969,9
Intelsat,,1970,12
Intelsat,,1971,14
Intelsat,,1972,16
Intelsat,,1973,17
Intelsat,,1974,18
Intelsat,,1975,20
Intelsat,,1976,21
Intelsat,,1978,23
Intelsat,,1980,24
Intelsat,,1981,25
Intelsat,,1982,27
Intelsat,,1983,29
Intelsat,,1984,31
Intelsat,,1985,34
Intelsat,,1988,35
Intelsat,,1989,37
Intelsat,,1990,39
Intelsat,,1991,41
Intelsat,,1992,42
Intelsat,,1993,43
Intelsat,,1994,45
Intelsat,,1995,48
Intelsat,,1996,50
Intelsat,,1997,54
Intelsat,,1998,56
Intelsat,,2008,57
Intelsat,,2011,58
Intelsat,,2012,59
Intelsat,,2014,60
Intersputnik,,1999,1
Iran,IRN,2005,1
Iran,IRN,2009,2
Iran,IRN,2011,3
Iran,IRN,2012,4
Iran,IRN,2015,5
Iran,IRN,2020,6
Iran,IRN,2022,8
Iran,IRN,2023,9
Iran,IRN,2024,20
Iranian Space Agency,,2024,1
Ireland,IRL,2023,1
Israel,ISR,1988,1
Israel,ISR,1990,2
Israel,ISR,1995,3
Israel,ISR,1996,4
Israel,ISR,1998,5
Israel,ISR,2000,6
Israel,ISR,2002,7
Israel,ISR,2003,8
Israel,ISR,2006,9
Israel,ISR,2007,10
Israel,ISR,2008,12
Israel,ISR,2010,13
Israel,ISR,2011,14
Israel,ISR,2013,15
Israel,ISR,2014,17
Israel,ISR,2016,18
Israel,ISR,2017,21
Israel,ISR,2019,24
Israel,ISR,2020,26
Israel,ISR,2021,30
Israel,ISR,2022,41
Israel,ISR,2023,46
Italy,ITA,1964,2
Italy,ITA,1967,3
Italy,ITA,1971,4
Italy,ITA,1974,5
Italy,ITA,1977,6
Italy,ITA,1988,7
Italy,ITA,1991,8
Italy,ITA,1992,9
Italy,ITA,1993,11
Italy,ITA,1996,13
Italy,ITA,1999,14
Italy,ITA,2000,17
Italy,ITA,2001,18
Italy,ITA,2002,19
Italy,ITA,2004,20
Italy,ITA,2007,23
Italy,ITA,2008,24
Italy,ITA,2009,25
Italy,ITA,2010,26
Italy,ITA,2011,27
Italy,ITA,2012,31
Italy,ITA,2013,32
Italy,ITA,2014,34
Italy,ITA,2015,35
Italy,ITA,2016,36
Italy,ITA,2017,40
Italy,ITA,2018,41
Italy,ITA,2019,44
Italy,ITA,2020,45
Italy,ITA,2021,53
Italy,ITA,2022,64
Italy,ITA,2023,85
Italy,ITA,2024,96
Japan,JPN,1970,1
Japan,JPN,1971,3
Japan,JPN,1972,4
Japan,JPN,1974,5
Japan,JPN,1975,7
Japan,JPN,1976,8
Japan,JPN,1977,12
Japan,JPN,1978,16
Japan,JPN,1979,18
Japan,JPN,1980,20
Japan,JPN,1981,23
Japan,JPN,1982,24
Japan,JPN,1983,27
Japan,JPN,1984,30
Japan,JPN,1985,32
Japan,JPN,1986,36
Japan,JPN,1987,39
Japan,JPN,1988,41
Japan,JPN,1989,45
Japan,JPN,1990,52
Japan,JPN,1991,54
Japan,JPN,1992,58
Japan,JPN,1993,59
Japan,JPN,1994,63
Japan,JPN,1995,67
Japan,JPN,1996,70
Japan,JPN,1997,77
Japan,JPN,1998,80
Japan,JPN,1999,81
Japan,JPN,2000,84
Japan,JPN,2001,88
Japan,JPN,2002,98
Japan,JPN,2003,105
Japan,JPN,2004,107
Japan,JPN,2005,112
Japan,JPN,2006,123
Japan,JPN,2007,129
Japan,JPN,2008,135
Japan,JPN,2009,147
Japan,JPN,2010,156
Japan,JPN,2011,160
Japan,JPN,2012,169
Japan,JPN,2013,174
Japan,JPN,2014,198
Japan,JPN,2015,202
Japan,JPN,2016,213
Japan,JPN,2017,229
Japan,JPN,2018,247
Japan,JPN,2019,268
Japan,JPN,2020,277
Japan,JPN,2021,301
Japan,JPN,2022,313
Japan,JPN,2023,326
Japan,JPN,2024,352
Jordan,JOR,2018,1
Kazakhstan,KAZ,2006,1
Kazakhstan,KAZ,2011,2
Kazakhstan,KAZ,2014,5
Kazakhstan,KAZ,2017,6
Kazakhstan,KAZ,2018,9
Kenya,KEN,2018,1
Kenya,KEN,2023,2
Kuwait,KWT,2023,1
Laos,LAO,2015,1
Latvia,LVA,2017,1
Lithuania,LTU,2014,2
Lithuania,LTU,2019,4
Lithuania,LTU,2020,6
Lithuania,LTU,2021,9
Lithuania,LTU,2022,10
Lithuania,LTU,2023,13
Luxembourg,LUX,1988,1
Luxembourg,LUX,1991,2
Luxembourg,LUX,1993,3
Luxembourg,LUX,1994,4
Luxembourg,LUX,1995,5
Luxembourg,LUX,1996,6
Luxembourg,LUX,1997,7
Luxembourg,LUX,1998,8
Luxembourg,LUX,1999,9
Luxembourg,LUX,2000,11
Luxembourg,LUX,2001,12
Luxembourg,LUX,2002,14
Luxembourg,LUX,2006,15
Luxembourg,LUX,2007,16
Luxembourg,LUX,2008,17
Luxembourg,LUX,2010,19
Luxembourg,LUX,2011,21
Luxembourg,LUX,2012,23
Luxembourg,LUX,2013,24
Luxembourg,LUX,2014,26
Luxembourg,LUX,2018,35
Luxembourg,LUX,2019,39
Luxembourg,LUX,2020,47
Luxembourg,LUX,2021,58
Luxembourg,LUX,2022,74
Luxembourg,LUX,2023,87
Luxembourg,LUX,2024,95
Malaysia,MYS,1996,2
Malaysia,MYS,2000,3
Malaysia,MYS,2006,4
Malaysia,MYS,2009,6
Malaysia,MYS,2014,7
Malaysia,MYS,2018,9
Malaysia,MYS,2022,10
Malaysia,MYS,2023,12
Mauritius,MUS,2021,1
Mexico,MEX,1985,2
Mexico,MEX,1993,3
Mexico,MEX,1994,4
Mexico,MEX,1996,5
Mexico,MEX,1998,6
Mexico,MEX,2006,7
Mexico,MEX,2011,9
Mexico,MEX,2012,10
Mexico,MEX,2013,11
Mexico,MEX,2015,13
Mexico,MEX,2016,14
Mexico,MEX,2019,15
Mexico,MEX,2020,16
Mexico,MEX,2021,18
Moldova,MDA,2022,1
Monaco,MCO,2020,1
Mongolia,MNG,2017,1
Mongolia,MNG,2024,13
Morocco,MAR,2001,1
Morocco,MAR,2017,2
Morocco,MAR,2018,3
Morocco,MAR,2024,5
NATO,,1970,1
NATO,,1971,2
NATO,,1976,3
NATO,,1984,4
NATO,,1991,5
Nepal,NPL,2019,1
Netherlands,NLD,1974,1
Netherlands,NLD,2002,2
Netherlands,NLD,2008,3
Netherlands,NLD,2013,7
Netherlands,NLD,2017,8
Netherlands,NLD,2018,11
Netherlands,NLD,2021,14
Netherlands,NLD,2022,15
Netherlands,NLD,2023,17
New Zealand,NZL,2018,1
New Zealand,NZL,2019,2
New Zealand,NZL,2020,10
New Zealand,NZL,2021,14
New Zealand,NZL,2022,26
Nigeria,NGA,2003,1
Nigeria,NGA,2011,3
Nigeria,NGA,2017,4
North Korea,PRK,2012,1
North Korea,PRK,2016,2
North Korea,PRK,2023,3
Norway,NOR,1997,1
Norway,NOR,1998,2
Norway,NOR,2005,3
Norway,NOR,2008,4
Norway,NOR,2009,5
Norway,NOR,2010,6
Norway,NOR,2013,7
Norway,NOR,2014,8
Norway,NOR,2015,9
Norway,NOR,2017,13
Norway,NOR,2021,14
Norway,NOR,2022,17
Norway,NOR,2023,20
Norway,NOR,2024,24
Oman,OMN,2024,1
Pakistan,PAK,1990,1
Pakistan,PAK,2001,2
Pakistan,PAK,2011,3
Pakistan,PAK,2013,4
Pakistan,PAK,2018,6
Pakistan,PAK,2024,8
Papua New Guinea,PNG,2014,1
Papua New Guinea,PNG,2015,2
Paraguay,PRY,2021,1
Peru,PER,2013,2
Peru,PER,2014,3
Peru,PER,2016,4
Philippines,PHL,1997,1
Philippines,PHL,2016,2
Philippines,PHL,2018,4
Philippines,PHL,2021,7
Philippines,PHL,2023,9
Poland,POL,2012,1
Poland,POL,2013,2
Poland,POL,2014,3
Poland,POL,2018,4
Poland,POL,2019,6
Poland,POL,2021,8
Poland,POL,2022,14
Poland,POL,2023,16
Poland,POL,2024,18
Portugal,PRT,1993,1
Portugal,PRT,2024,3
Qatar,QAT,2018,1
RASCOM,,2007,1
RASCOM,,2010,2
Romania,ROU,2012,1
Romania,ROU,2023,2
Russia,RUS,1957,2
Russia,RUS,1958,3
Russia,RUS,1959,6
Russia,RUS,1960,9
Russia,RUS,1961,16
Russia,RUS,1962,36
Russia,RUS,1963,53
Russia,RUS,1964,88
Russia,RUS,1965,152
Russia,RUS,1966,196
Russia,RUS,1967,262
Russia,RUS,1968,336
Russia,RUS,1969,406
Russia,RUS,1970,494
Russia,RUS,1971,592
Russia,RUS,1972,680
Russia,RUS,1973,789
Russia,RUS,1974,884
Russia,RUS,1975,995
Russia,RUS,1976,1116
Russia,RUS,1977,1220
Russia,RUS,1978,1339
Russia,RUS,1979,1440
Russia,RUS,1980,1550
Russia,RUS,1981,1674
Russia,RUS,1982,1793
Russia,RUS,1983,1909
Russia,RUS,1984,2024
Russia,RUS,1985,2143
Russia,RUS,1986,2257
Russia,RUS,1987,2373
Russia,RUS,1988,2482
Russia,RUS,1989,2581
Russia,RUS,1990,2677
Russia,RUS,1991,2760
Russia,RUS,1992,2838
Russia,RUS,1993,2897
Russia,RUS,1994,2961
Russia,RUS,1995,2997
Russia,RUS,1996,3025
Russia,RUS,1997,3053
Russia,RUS,1998,3080
Russia,RUS,1999,3095
Russia,RUS,2000,3118
Russia,RUS,2001,3148
Russia,RUS,2002,3167
Russia,RUS,2003,3189
Russia,RUS,2004,3208
Russia,RUS,2005,3227
Russia,RUS,2006,3243
Russia,RUS,2007,3261
Russia,RUS,2008,3282
Russia,RUS,2009,3312
Russia,RUS,2010,3336
Russia,RUS,2011,3360
Russia,RUS,2012,3383
Russia,RUS,2013,3412
Russia,RUS,2014,3447
Russia,RUS,2015,3474
Russia,RUS,2016,3488
Russia,RUS,2017,3513
Russia,RUS,2018,3536
Russia,RUS,2019,3566
Russia,RUS,2020,3590
Russia,RUS,2021,3611
Russia,RUS,2022,3661
Russia,RUS,2023,3727
Russia,RUS,2024,3825
Rwanda,RWA,2021,1
Rwanda,RWA,2023,4
Rwanda,RWA,2024,7
Saudi Arabia,SAU,2000,2
Saudi Arabia,SAU,2002,3
Saudi Arabia,SAU,2004,6
Saudi Arabia,SAU,2007,12
Saudi Arabia,SAU,2014,13
Saudi Arabia,SAU,2018,15
Saudi Arabia,SAU,2021,17
Sea Launch,,1999,1
Senegal,SEN,2024,1
Singapore,SGP,1998,1
Singapore,SGP,2011,3
Singapore,SGP,2013,4
Singapore,SGP,2014,6
Singapore,SGP,2015,12
Singapore,SGP,2019,13
Singapore,SGP,2022,17
Singapore,SGP,2023,27
Singapore,SGP,2024,28
Slovakia,SVK,2017,1
Slovakia,SVK,2021,2
Slovakia,SVK,2023,3
Slovakia,SVK,2024,4
Slovenia,SVN,2020,2
Slovenia,SVN,2022,3
South Africa,ZAF,1999,1
South Africa,ZAF,2009,2
South Africa,ZAF,2013,3
South Africa,ZAF,2014,4
South Africa,ZAF,2018,5
South Africa,ZAF,2022,8
South Africa,ZAF,2023,9
South Korea,KOR,1992,1
South Korea,KOR,1993,2
South Korea,KOR,1995,3
South Korea,KOR,1996,4
South Korea,KOR,1999,7
South Korea,KOR,2003,8
South Korea,KOR,2004,9
South Korea,KOR,2006,11
South Korea,KOR,2010,13
South Korea,KOR,2012,14
South Korea,KOR,2013,20
South Korea,KOR,2015,21
South Korea,KOR,2017,26
South Korea,KOR,2018,37
South Korea,KOR,2020,39
South Korea,KOR,2021,43
South Korea,KOR,2022,51
South Korea,KOR,2023,63
South Korea,KOR,2024,68
Spain,ESP,1974,1
Spain,ESP,1992,2
Spain,ESP,1993,3
Spain,ESP,1995,4
Spain,ESP,1997,5
Spain,ESP,2000,6
Spain,ESP,2002,7
Spain,ESP,2004,8
Spain,ESP,2006,9
Spain,ESP,2009,11
Spain,ESP,2010,12
Spain,ESP,2012,13
Spain,ESP,2013,15
Spain,ESP,2014,16
Spain,ESP,2016,17
Spain,ESP,2017,18
Spain,ESP,2018,23
Spain,ESP,2019,25
Spain,ESP,2020,28
Spain,ESP,2021,29
Spain,ESP,2022,48
Spain,ESP,2023,61
Spain,ESP,2024,69
Sri Lanka,LKA,2019,1
Starsem,,2000,2
Sweden,SWE,1986,1
Sweden,SWE,1989,4
Sweden,SWE,1992,5
Sweden,SWE,1995,6
Sweden,SWE,1997,7
Sweden,SWE,1998,9
Sweden,SWE,2000,11
Sweden,SWE,2001,12
Sweden,SWE,2007,13
Sweden,SWE,2010,15
Sweden,SWE,2012,17
Sweden,SWE,2017,18
Sweden,SWE,2019,19
Sweden,SWE,2024,21
Switzerland,CHE,2009,1
Switzerland,CHE,2010,2
Switzerland,CHE,2018,3
Switzerland,CHE,2019,4
Switzerland,CHE,2020,5
Switzerland,CHE,2021,15
Switzerland,CHE,2022,19
Switzerland,CHE,2023,24
Taiwan,TWN,1999,1
Taiwan,TWN,2004,2
Taiwan,TWN,2006,8
Taiwan,TWN,2017,9
Taiwan,TWN,2019,15
Taiwan,TWN,2021,17
Taiwan,TWN,2022,19
Taiwan,TWN,2023,22
Taiwan,TWN,2024,25
Thailand,THA,1993,1
Thailand,THA,1994,2
Thailand,THA,1997,3
Thailand,THA,1998,4
Thailand,THA,2005,5
Thailand,THA,2006,6
Thailand,THA,2008,7
Thailand,THA,2014,8
Thailand,THA,2016,9
Thailand,THA,2018,10
Thailand,THA,2019,11
Thailand,THA,2020,12
Thailand,THA,2021,14
Thailand,THA,2023,15
Tunisia,TUN,2021,1
Turkey,TUR,1994,1
Turkey,TUR,1996,2
Turkey,TUR,2001,3
Turkey,TUR,2003,4
Turkey,TUR,2008,5
Turkey,TUR,2009,6
Turkey,TUR,2011,7
Turkey,TUR,2012,8
Turkey,TUR,2013,9
Turkey,TUR,2014,10
Turkey,TUR,2015,11
Turkey,TUR,2016,12
Turkey,TUR,2018,13
Turkey,TUR,2021,16
Turkey,TUR,2022,18
Turkey,TUR,2023,27
Turkey,TUR,2024,32
Turkmenistan,TKM,2015,1
Uganda,UGA,2022,1
Ukraine,UKR,1995,1
Ukraine,UKR,2004,3
Ukraine,UKR,2010,4
Ukraine,UKR,2011,6
Ukraine,UKR,2013,7
Ukraine,UKR,2014,8
Ukraine,UKR,2022,9
Ukraine,UKR,2023,10
United Arab Emirates,ARE,2000,1
United Arab Emirates,ARE,2003,2
United Arab Emirates,ARE,2008,3
United Arab Emirates,ARE,2009,4
United Arab Emirates,ARE,2011,5
United Arab Emirates,ARE,2012,6
United Arab Emirates,ARE,2013,7
United Arab Emirates,ARE,2017,8
United Arab Emirates,ARE,2018,9
United Arab Emirates,ARE,2019,10
United Arab Emirates,ARE,2020,13
United Arab Emirates,ARE,2021,17
United Arab Emirates,ARE,2022,20
United Arab Emirates,ARE,2023,22
United Kingdom,GBR,1962,1
United Kingdom,GBR,1964,2
United Kingdom,GBR,1967,3
United Kingdom,GBR,1969,5
United Kingdom,GBR,1970,6
United Kingdom,GBR,1971,8
United Kingdom,GBR,1974,12
United Kingdom,GBR,1979,14
United Kingdom,GBR,1981,16
United Kingdom,GBR,1984,18
